,1950,1980,2010
"Cable, George Washington",0,1,1
"Chopin, Kate",0,2,0
"Clemens, Samuel",2,1,0
"Douglass, Frederick",0,0,2
"Emerson, Ralph Waldo",2,0,1
"Faulkner, William",0,2,0
"Hawthorne, Nathaniel",1,3,0
"Irving, Washington",1,1,0
"Melville, Herman",7,3,2
"Wheatley, Phillis",0,1,1
"Whitman, Walt",2,1,0
,,,
"Anderson, Sherwood",0,1,0
"Apess, William",0,0,1
"Baldwin, James",0,1,0
"Carson, Rachel",0,0,1
"Cather, Willa",1,0,0
"Channing, William Ellery, the Elder ",1,0,0
"Coke, Allison Adelle Hedge",0,0,1
"Cooper, James Fenimore",0,1,0
"Cotton, John",1,0,0
"Cranch, Christopher Pearse",1,0,0
"Dickey, James",0,1,0
"Dickinson, Emily",0,1,0
"Dwight, John Sullivan",1,0,0
"Dwight, Timothy",1,0,0
"Eliot, T. S.",1,0,0
"Flaubert, Gustave",0,1,0
"Flint, Timothy",1,0,0
"Flower,  Benjamin Orange ",1,0,0
"Franklin, Benjamin",1,0,0
"Frost, Robert",0,1,0
"Harte, Bret",1,0,0
"Hemingway, Ernest",0,1,0
"Holmes, Oliver Wendell",1,0,0
"Howells, William Dean",0,1,0
"Ibsen, Henrik",0,1,0
"Ingraham, Joseph Holt",1,0,0
"Jacobs, Harriet Ann",0,0,1
"James, Henry, Jr.",1,0,0
"Jefferson, Thomas",0,1,0
Lin Yutang,0,0,1
"Lincoln, Abraham",0,1,0
"Longfellow, Henry Wordsworth",1,0,0
"Lowell, James Russell",1,0,0
"Lowell, Robert",0,1,0
"Philippe, Charles-Louis",1,0,0
"Poe, Edgar Allan",1,0,0
"Porter, Katherine Anne",0,1,0
"Schuyler, George Samuel ",0,0,1
"Steinbeck, John",0,1,0
"Stowe, Harriet Beecher ",0,0,1
"Taylor, Edward",0,1,0
"Tocqueville, Alexis-Henri-Charles-Maurice-Clérel, comte de",1,0,0
"Tompson, Benjamin",0,1,0
"Toomer, Jean ",0,0,1
"Thoreau, Henry David",0,1,0
"Metacom, Chief of the Wampanoags ",0,1,0
"Wagner, Richard",0,1,0
"Warren, Robert Penn",0,1,0
"Whittier, John Greenleaf",1,0,0
"Wright, Richard",0,0,1
"Yezierska, Anzia ",0,0,1
