,1950,1980,2010,Total
"Adaptations, Performances, and Translations",1,0,2,3
Article Genre,3,1,1,5
Authorship or Publishing,7,2,8,17
Character,2,2,0,4
Concrete Object,0,2,10,12
Genre,1,5,2,8
Geographical Location,0,1,0,1
Group of People,2,3,3,8
Historical Event or Entity,0,6,13,19
Person,4,3,4,11
Philosophical Concepts and Ideologies,6,18,39,63
Religion,0,1,2,3
Rhetorical Technique,9,29,16,54
Sources,6,11,6,23
Title of Work,3,11,6,20
Total,44,95,112,251
Terms per Article,1.189189189,2.714285714,4.666666667,2.614583333
