Bubu de Montparnasse,1950,person
"by Dwight, John Sullivan (1813-1893)",1950,person
"in Porter, Katherine Anne (1890-1980)",1980,person
Marie Donadieu,1950,person
"of Yezierska, Anzia (1885-1970)",2010,person
"Wagner, Richard (1813-1883)",1980,person
Der Ring des Nibelungen (1869-1876),1980,title of work
Gengangere (1881) [Ghosts],1980,title of work
Hacienda (1934),1980,title of work
Hungry Hearts (1920),2010,title of work
La Démocratie en Amérique (1835-40),1950,title of work
Madame Bovary (1857),1980,title of work
'Mrs. Mobry's Reason',1980,title of work
'Preludes',1950,title of work
Remarks on American Literature (1830),1950,title of work
'Rhapsody on a Windy Night',1950,title of work
Salome of the Tenements (1922),2010,title of work
The Awakening (1899),1980,title of work
'The Children of Xochitl',1980,title of work
The Song of Hiawatha (1855),1950,title of work
'Wings',2010,title of work
