Subject Work Classification,Date Cited,,,
criticism,1950,,,
manuscript note,1950,,,
manuscript note,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
No Classification,1950,,,
novel,1950,,,
novel,1950,,,
novel,1950,,,
novel,1950,,,
novel,1950,,,
novel,1950,,,
poetry,1950,,,
poetry,1950,,,
poetry,1950,,,
poetry,1950,,,
prose,1950,,,
prose,1950,,,
prose,1950,,,
prose,1950,,,
prose,1950,,,
prose,1950,,,
prose,1950,,,
prose,1950,,,
prose,1950,,,
short story,1950,,,
source study,1950,,,
translation,1950,,,
drama,1980,,,
letters,1980,,,
No Classification,1980,,,
No Classification,1980,,,
No Classification,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
novel,1980,,,
poetry,1980,,,
poetry,1980,,,
poetry,1980,,,
poetry,1980,,,
poetry,1980,,,
poetry,1980,,,
poetry,1980,,,
poetry,1980,,,
prose,1980,,,
prose,1980,,,
prose,1980,,,
prose,1980,,,
short story,1980,,,
short story,1980,,,
short story,1980,,,
short story,1980,,,
short story,1980,,,
short story,1980,,,
autobiography,2010,,,
autobiography,2010,,,
fiction,2010,,,
No Classification,2010,,,
No Classification,2010,,,
No Classification,2010,,,
No Classification,2010,,,
No Classification,2010,,,
No Classification,2010,,,
No Classification,2010,,,
novel,2010,,,
novel,2010,,,
novel,2010,,,
novel,2010,,,
poetic cycle,2010,,,
poetry,2010,,,
poetry,2010,,,
poetry,2010,,,
prose,2010,,,
prose,2010,,,
prose,2010,,,
prose,2010,,,
prose,2010,,,
short story,2010,,,
short story,2010,,,
,,,,
,,,,
Genre,,,,
periodicals,1950,genre,,
periodicals,1950,genre,,
folk literature,1980,genre,,
prose,1980,genre,,
fiction,2010,genre,,
historical novel,2010,genre,,
novel,2010,genre,,
novel,2010,genre,,
poetry,2010,genre,,
poetry (1950-1969),2010,genre,,
popular poetry,2010,genre,,
prose,2010,genre,,
song,2010,genre,,
war fiction,2010,genre,,
