1950 classifications,1980 classifications,2010 classifications
criticism,criticism,autobiography
novel,novel,autobiography
novel,novel,fiction
novel,novel,in United States
novel,novel,novel
novel,novel,novel
novel,novel,novel
poetry,poetry,novel
poetry,poetry,poetry
poetry; and prose,poetry; and prose,poetry
poetry; and prose,poetry; and prose,poetry; poetic cycle
prose,prose,prose
prose,prose,prose
prose,prose,prose
prose,prose,prose
prose,prose,prose
prose; manuscript note,prose; manuscript note,short story
prose; manuscript notes; source study,prose; manuscript notes; source study,short story
short story,short story,
translation,translation,
