1950 Subject Authors,1980 Subject Authors,2010 Subject Authors
" Cather, Willa (1873-1947)"," and Wagner, Richard (1813-1883)","Apess, William (1798-1839)"
" Channing, William Ellery, the Elder (1780-1842)"," Anderson, Sherwood (1876-1941)","Cable, George Washington (1844-1925)"
" Clemens, Samuel (1835-1910)"," Baldwin, James (1924-1987)","Carson, Rachel (1907-1964)"
" Cotton, John (1584-1652)"," Cable, George Washington","Coke, Allison Adelle Hedge (1958-)"
" Cranch, Christopher Pearse (1813-1892)"," Chopin, Kate (1851-1904)","Douglass, Frederick (1817-1895)"
" Dwight, John Sullivan (1813-1893)"," Chopin, Kate (1851-1904)","Douglass, Frederick (1817-1895)"
" Dwight, Timothy (1752-1817)"," Clemens, Samuel (1835-1910)","Emerson, Ralph Waldo (1803-1882)"
" Eliot, T. S. (1888-1965)"," Cooper, James Fenimore (1789-1851)","Jacobs, Harriet Ann (1813-1897)"
" Emerson, Ralph Waldo"," Dickey, James (1923-1997)",Lin Yutang (1895-1976)
" Emerson, Ralph Waldo (1803-1882)"," Dickinson, Emily (1830-1886)","Melville, Herman (1819-1891)"
" Flint, Timothy (1780-1840)"," Faulkner, William (1897-1962)","Melville, Herman (1819-1891)"
" Franklin, Benjamin (1706-1790)"," Faulkner, William (1897-1962)","Schuyler, George Samuel (1895-1977)"
" Hawthorne, Nathaniel (1804-1864)"," Flaubert, Gustave (1821-1880)","Stowe, Harriet Beecher (1811-1896)"
" Holmes, Oliver Wendell (1809-1894)"," Frost, Robert (1874-1963)","Toomer, Jean (1894-1967)"
" Ingraham, Joseph Holt"," Hawthorne, Nathaniel (1804-1864)","Wheatley, Phillis (1753?-1784)"
" Irving, Washington (1783-1859)"," Hawthorne, Nathaniel (1804-1864)","Wright, Richard (1908-1960)"
" James, Henry, Jr."," Hawthorne, Nathaniel (1804-1864)","Yezierska, Anzia (1885-1970)"
" James, Henry, Jr."," Hemingway, Ernest (1899-1961)",
" Longfellow, Henry Wadsworth (1807-1882)"," Howells, William Dean (1837-1920)",
" Lowell, James Russell"," Ibsen, Henrik (1828-1906)",
" Melville, Herman (1819-1891)"," Irving, Washington (1783-1859)",
" Melville, Herman (1819-1891)"," Jefferson, Thomas (1743-1826)",
" Melville, Herman (1819-1891)"," Lincoln, Abraham (1809-1865)",
" Melville, Herman (1819-1891)"," Lowell, Robert (1917-1977)",
" Melville, Herman (1819-1891)"," Melville, Herman (1819-1891)",
" Melville, Herman (1819-1891)"," Melville, Herman (1819-1891)",
" Melville, Herman (1819-1891)"," Melville, Herman (1819-1891)",
" Philippe, Charles-Louis (1874-1909)"," Porter, Katherine Anne (1890-1980)",
" Poe, Edgar Allan (1809-1849)"," Steinbeck, John (1902-1968)",
" role of Flower,  Benjamin Orange (1858-1918)"," Taylor, Edward (ca. 1644-1729)",
" role of Harte, Bret (1836-1902)"," Tompson, Benjamin (1642-1714)",
" Tocqueville, Alexis-Henri-Charles-Maurice-Clérel, comte de (1805-1859)"," treatment in Thoreau, Henry David (1817-1862)",
" treatment in Clemens, Samuel (1835-1910)"," treatment of Metacom, Chief of the Wampanoags (ca. 1637-1676)",
" Whitman, Walt (1819-1892)"," Warren, Robert Penn (1905-1989)",
" Whitman, Walt (1819-1892)"," Wheatley, Phillis (1753?-1784)",
" Whittier, John Greenleaf"," Whitman, Walt (1819-1892)",
," Whitman, Walt (1819-1892)",
