Dates 1950,Dates 1980,Dates 2010
1600-1699,1600-1699,1700-1799
1700-1799,1600-1699,1800-1899
1700-1799,1700-1799,1800-1899
1800-1899,1700-1799,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1800-1899
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1800-1899,1900-1999
1800-1899,1900-1999,"role of Child, Lydia Maria (1802-1880); in editions (1865)"
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1800-1899,1900-1999,
1900-1999,,
1900-1999,,
1900-1999,,
1900-1999,,
1900-1999,,
1900-1999,,
,,
,,
,,
,,
,,
,,
